 dt=   5.0000000000000004E-006
 s_ind=         126
 steps=     2000000
 zipper=        2000

istep          p0              t0              rout            zout
  384000    0.31377559E+01  0.75681664E+01  0.95026786E+00  0.19727892E+00
  386000    0.31479385E+01  0.75643201E+01  0.95003066E+00  0.19825051E+00
  388000    0.31581266E+01  0.75604647E+01  0.94980871E+00  0.19922411E+00
  390000    0.31683200E+01  0.75566006E+01  0.94960197E+00  0.20019962E+00
  392000    0.31785184E+01  0.75527284E+01  0.94941040E+00  0.20117690E+00
  394000    0.31887218E+01  0.75488486E+01  0.94923398E+00  0.20215585E+00
  396000    0.31989298E+01  0.75449618E+01  0.94907267E+00  0.20313634E+00
  398000    0.32091424E+01  0.75410685E+01  0.94892642E+00  0.20411825E+00
  400000    0.32193593E+01  0.75371693E+01  0.94879520E+00  0.20510149E+00
  402000    0.32295803E+01  0.75332647E+01  0.94867896E+00  0.20608593E+00
  404000    0.32398052E+01  0.75293552E+01  0.94857767E+00  0.20707145E+00
  406000    0.32500339E+01  0.75254414E+01  0.94849129E+00  0.20805796E+00
  408000    0.32602662E+01  0.75215237E+01  0.94841977E+00  0.20904534E+00
  410000    0.32705018E+01  0.75176028E+01  0.94836307E+00  0.21003349E+00
  412000    0.32807405E+01  0.75136791E+01  0.94832114E+00  0.21102229E+00
  414000    0.32909822E+01  0.75097531E+01  0.94829396E+00  0.21201164E+00
  416000    0.33012267E+01  0.75058252E+01  0.94828146E+00  0.21300145E+00
  418000    0.33114738E+01  0.75018961E+01  0.94828363E+00  0.21399160E+00
  420000    0.33217232E+01  0.74979660E+01  0.94830040E+00  0.21498199E+00
  422000    0.33319748E+01  0.74940356E+01  0.94833175E+00  0.21597253E+00
  424000    0.33422284E+01  0.74901051E+01  0.94837764E+00  0.21696311E+00
  426000    0.33524838E+01  0.74861751E+01  0.94843802E+00  0.21795364E+00
  428000    0.33627408E+01  0.74822459E+01  0.94851287E+00  0.21894402E+00
  430000    0.33729992E+01  0.74783179E+01  0.94860215E+00  0.21993415E+00
  432000    0.33832588E+01  0.74743915E+01  0.94870582E+00  0.22092394E+00
  434000    0.33935194E+01  0.74704670E+01  0.94882385E+00  0.22191329E+00
  436000    0.34037808E+01  0.74665447E+01  0.94895623E+00  0.22290210E+00
  438000    0.34140428E+01  0.74626251E+01  0.94910290E+00  0.22389030E+00
  440000    0.34243052E+01  0.74587083E+01  0.94926386E+00  0.22487777E+00
  442000    0.34345678E+01  0.74547946E+01  0.94943908E+00  0.22586443E+00
  444000    0.34448304E+01  0.74508843E+01  0.94962853E+00  0.22685020E+00
  446000    0.34550929E+01  0.74469777E+01  0.94983220E+00  0.22783497E+00
  448000    0.34653550E+01  0.74430748E+01  0.95005006E+00  0.22881865E+00
  450000    0.34756165E+01  0.74391760E+01  0.95028211E+00  0.22980116E+00
  452000    0.34858772E+01  0.74352814E+01  0.95052833E+00  0.23078241E+00
  454000    0.34961370E+01  0.74313911E+01  0.95078870E+00  0.23176230E+00
  456000    0.35063956E+01  0.74275053E+01  0.95106323E+00  0.23274074E+00
  458000    0.35166529E+01  0.74236241E+01  0.95135189E+00  0.23371765E+00
  460000    0.35269086E+01  0.74197475E+01  0.95165469E+00  0.23469293E+00
  462000    0.35371626E+01  0.74158757E+01  0.95197163E+00  0.23566650E+00
  464000    0.35474146E+01  0.74120087E+01  0.95230270E+00  0.23663826E+00
  466000    0.35576644E+01  0.74081466E+01  0.95264790E+00  0.23760812E+00
  468000    0.35679120E+01  0.74042893E+01  0.95300724E+00  0.23857600E+00
  470000    0.35781569E+01  0.74004368E+01  0.95338072E+00  0.23954179E+00
  472000    0.35883992E+01  0.73965892E+01  0.95376835E+00  0.24050541E+00
  474000    0.35986385E+01  0.73927464E+01  0.95417013E+00  0.24146677E+00
  476000    0.36088748E+01  0.73889083E+01  0.95458608E+00  0.24242577E+00
  478000    0.36191077E+01  0.73850749E+01  0.95501620E+00  0.24338231E+00
  480000    0.36293371E+01  0.73812461E+01  0.95546052E+00  0.24433632E+00
  482000    0.36395628E+01  0.73774218E+01  0.95591903E+00  0.24528768E+00
  484000    0.36497846E+01  0.73736020E+01  0.95639177E+00  0.24623631E+00
  486000    0.36600023E+01  0.73697864E+01  0.95687873E+00  0.24718211E+00
  488000    0.36702157E+01  0.73659750E+01  0.95737995E+00  0.24812498E+00
  490000    0.36804247E+01  0.73621676E+01  0.95789543E+00  0.24906483E+00
  492000    0.36906290E+01  0.73583641E+01  0.95842519E+00  0.25000155E+00
  494000    0.37008284E+01  0.73545644E+01  0.95896925E+00  0.25093505E+00
  496000    0.37110228E+01  0.73507682E+01  0.95952764E+00  0.25186523E+00
  498000    0.37212119E+01  0.73469754E+01  0.96010036E+00  0.25279198E+00
  500000    0.37313956E+01  0.73431857E+01  0.96068744E+00  0.25371521E+00
  502000    0.37415738E+01  0.73393992E+01  0.96128890E+00  0.25463482E+00
  504000    0.37517460E+01  0.73356154E+01  0.96190475E+00  0.25555069E+00
  506000    0.37619123E+01  0.73318344E+01  0.96253501E+00  0.25646273E+00
  508000    0.37720725E+01  0.73280557E+01  0.96317970E+00  0.25737083E+00
  510000    0.37822262E+01  0.73242794E+01  0.96383884E+00  0.25827489E+00
  512000    0.37923734E+01  0.73205051E+01  0.96451244E+00  0.25917480E+00
  514000    0.38025139E+01  0.73167327E+01  0.96520052E+00  0.26007045E+00
  516000    0.38126474E+01  0.73129619E+01  0.96590309E+00  0.26096174E+00
  518000    0.38227738E+01  0.73091926E+01  0.96662017E+00  0.26184856E+00
  520000    0.38328929E+01  0.73054246E+01  0.96735176E+00  0.26273079E+00
  522000    0.38430046E+01  0.73016577E+01  0.96809788E+00  0.26360833E+00
  524000    0.38531086E+01  0.72978917E+01  0.96885853E+00  0.26448108E+00
  526000    0.38632048E+01  0.72941264E+01  0.96963373E+00  0.26534891E+00
  528000    0.38732929E+01  0.72903616E+01  0.97042347E+00  0.26621171E+00
  530000    0.38833729E+01  0.72865972E+01  0.97122777E+00  0.26706939E+00
  532000    0.38934445E+01  0.72828329E+01  0.97204662E+00  0.26792181E+00
  534000    0.39035076E+01  0.72790687E+01  0.97288003E+00  0.26876888E+00
  536000    0.39135620E+01  0.72753042E+01  0.97372799E+00  0.26961047E+00
  538000    0.39236074E+01  0.72715395E+01  0.97459049E+00  0.27044648E+00
  540000    0.39336439E+01  0.72677743E+01  0.97546754E+00  0.27127678E+00
  542000    0.39436710E+01  0.72640084E+01  0.97635912E+00  0.27210128E+00
  544000    0.39536888E+01  0.72602419E+01  0.97726522E+00  0.27291985E+00
  546000    0.39636971E+01  0.72564744E+01  0.97818583E+00  0.27373238E+00
  548000    0.39736956E+01  0.72527059E+01  0.97912093E+00  0.27453875E+00
  550000    0.39836842E+01  0.72489363E+01  0.98007051E+00  0.27533885E+00
  552000    0.39936627E+01  0.72451655E+01  0.98103453E+00  0.27613257E+00
  554000    0.40036311E+01  0.72413934E+01  0.98201299E+00  0.27691979E+00
  556000    0.40135890E+01  0.72376199E+01  0.98300584E+00  0.27770040E+00
  558000    0.40235365E+01  0.72338448E+01  0.98401307E+00  0.27847429E+00
  560000    0.40334732E+01  0.72300682E+01  0.98503464E+00  0.27924134E+00
  562000    0.40433991E+01  0.72262900E+01  0.98607052E+00  0.28000143E+00
  564000    0.40533140E+01  0.72225101E+01  0.98712066E+00  0.28075446E+00
  566000    0.40632178E+01  0.72187285E+01  0.98818504E+00  0.28150032E+00
  568000    0.40731102E+01  0.72149452E+01  0.98926360E+00  0.28223888E+00
  570000    0.40829913E+01  0.72111600E+01  0.99035630E+00  0.28297004E+00
  572000    0.40928607E+01  0.72073730E+01  0.99146309E+00  0.28369369E+00
  574000    0.41027184E+01  0.72035843E+01  0.99258392E+00  0.28440972E+00
  576000    0.41125642E+01  0.71997937E+01  0.99371874E+00  0.28511801E+00
  578000    0.41223981E+01  0.71960013E+01  0.99486748E+00  0.28581846E+00
  580000    0.41322197E+01  0.71922071E+01  0.99603010E+00  0.28651095E+00
  582000    0.41420291E+01  0.71884112E+01  0.99720651E+00  0.28719539E+00
  584000    0.41518261E+01  0.71846135E+01  0.99839667E+00  0.28787166E+00
  586000    0.41616106E+01  0.71808142E+01  0.99960050E+00  0.28853966E+00
  588000    0.41713823E+01  0.71770132E+01  0.10008179E+01  0.28919927E+00
  590000    0.41811413E+01  0.71732107E+01  0.10020489E+01  0.28985041E+00
  592000    0.41908873E+01  0.71694066E+01  0.10032933E+01  0.29049295E+00
  594000    0.42006203E+01  0.71656012E+01  0.10045510E+01  0.29112681E+00
  596000    0.42103402E+01  0.71617944E+01  0.10058221E+01  0.29175187E+00
  598000    0.42200467E+01  0.71579863E+01  0.10071064E+01  0.29236804E+00
  600000    0.42297399E+01  0.71541771E+01  0.10084037E+01  0.29297522E+00
  602000    0.42394195E+01  0.71503669E+01  0.10097141E+01  0.29357331E+00
  604000    0.42490855E+01  0.71465558E+01  0.10110374E+01  0.29416221E+00
  606000    0.42587378E+01  0.71427438E+01  0.10123736E+01  0.29474182E+00
  608000    0.42683763E+01  0.71389312E+01  0.10137225E+01  0.29531206E+00
  610000    0.42780008E+01  0.71351181E+01  0.10150840E+01  0.29587283E+00
  612000    0.42876113E+01  0.71313046E+01  0.10164580E+01  0.29642403E+00
  614000    0.42972077E+01  0.71274909E+01  0.10178445E+01  0.29696558E+00
  616000    0.43067898E+01  0.71236771E+01  0.10192433E+01  0.29749738E+00
  618000    0.43163576E+01  0.71198633E+01  0.10206543E+01  0.29801935E+00
  620000    0.43259110E+01  0.71160499E+01  0.10220773E+01  0.29853141E+00
  622000    0.43354499E+01  0.71122368E+01  0.10235124E+01  0.29903345E+00
  624000    0.43449743E+01  0.71084244E+01  0.10249593E+01  0.29952541E+00
  626000    0.43544839E+01  0.71046128E+01  0.10264179E+01  0.30000720E+00
  628000    0.43639788E+01  0.71008022E+01  0.10278882E+01  0.30047874E+00
  630000    0.43734588E+01  0.70969928E+01  0.10293699E+01  0.30093995E+00
  632000    0.43829240E+01  0.70931847E+01  0.10308630E+01  0.30139076E+00
  634000    0.43923742E+01  0.70893783E+01  0.10323674E+01  0.30183108E+00
  636000    0.44018093E+01  0.70855736E+01  0.10338828E+01  0.30226084E+00
  638000    0.44112293E+01  0.70817710E+01  0.10354092E+01  0.30267997E+00
  640000    0.44206341E+01  0.70779706E+01  0.10369465E+01  0.30308840E+00
  642000    0.44300237E+01  0.70741727E+01  0.10384945E+01  0.30348607E+00
  644000    0.44393980E+01  0.70703775E+01  0.10400530E+01  0.30387289E+00
  646000    0.44487569E+01  0.70665851E+01  0.10416219E+01  0.30424881E+00
  648000    0.44581003E+01  0.70627959E+01  0.10432011E+01  0.30461376E+00
  650000    0.44674283E+01  0.70590101E+01  0.10447905E+01  0.30496767E+00
